10300B	017800
10300B	017870
10300B	018680
10300B	038180
10300B	053600
10300B	315130
10300B	315140
10300B	017990
10300B	017780
10300B	015460
10300A	008240
10300A	011690
10300A	123240
10300A	013320
10300A	011030
10300A	122880
10300A	007420
10300A	006970
10300A	014470
10300A	006310
103009	368880
103009	363220
103009	370320
103009	359150
103009	363650
103009	369010
103009	360990
103009	355220
103009	356890
103009	359260
103008	190070
103008	039350
103008	471640
103008	317580
103008	135870
103008	244820
103008	244810
103008	254530
103008	548230
103008	548220
103007	331590
103007	329210
103007	331520
103007	331050
103007	330300
103007	331530
103007	331820
103007	330710
103007	161860
103007	335240
103006	406140
103006	403780
103006	403340
103006	407200
103006	401800
103006	406380
103006	401970
103006	401570
103006	401730
103006	402200
103005	274070
103005	273160
103005	274150
103005	274010
103005	274260
103005	273930
103005	473380
103005	236680
103005	239390
103005	01059080
103004	273390
103004	273030
103004	273050
103004	273750
103004	189220
103004	272470
103004	270850
103004	270980
103004	271950
103004	271070
103003	281840
103003	178590
103003	168770
103003	283790
103003	168760
103003	281660
103003	284200
103003	281330
103003	175930
103003	175940
103002	263340
103002	265610
103002	395420
103002	032210
103002	546140
103002	272080
103002	496960
103002	385280
103002	385940
103002	316290
103001	014720
103001	014060
103001	014610
103001	145290
103001	128750
103001	116050
103001	209960
103001	179730
103001	115770
103001	012280
103000	171170
103000	176940
103000	175330
103000	173280
103000	172500
103000	176020
103000	171430
103000	177230
103000	175730
103000	01045930
102CD5	099830
102CD5	038720
102CD5	090650
102CD5	092080
102CD5	155200
102CD5	089310
102CD5	192570
102CD5	156240
102CD5	337100
102CD5	01039900
102CD4	392990
102CD4	391270
102CD4	393080
102CD4	394210
102CD4	393620
102CD4	176940
102CD4	394740
102CD4	391980
102CD4	394990
102CD4	01065760
102CD3	460050
102CD3	461740
102CD3	459100
102CD3	465160
102CD3	465190
102CD3	457590
102CD3	462000
102CD3	459300
102CD3	461190
102CD3	462200
102CD2	434010
102CD2	291330
102CD2	156570
102CD2	163890
102CD2	155910
102CD2	159910
102CD2	261010
102CD2	318630
102CD2	246150
102CD2	434990
102CD1	218860
102CD1	365250
102CD1	216940
102CD1	358480
102CD1	522820
102CD1	123540
102CD1	127300
102CD1	253920
102CD1	359300
102CD1	283340
102CD0	423210
102CD0	422670
102CD0	446080
102CD0	441240
102CD0	385850
102CD0	384980
102CD0	552310
102CD0	480370
102CD0	126840
102CD0	481960
102CCF	276190
102CCF	224360
102CCF	455300
102CCF	424610
102CCF	484940
102CCF	300630
102CCF	484830
102CCF	484970
102CCF	01070670
102CCF	544010
102CCE	227510
102CCE	228360
102CCE	228440
102CCE	227960
102CCE	229240
102CCE	229340
102CCE	227770
102CCE	230000
102CCE	229190
102CCE	231400
102CCD	349600
102CCD	353040
102CCD	018930
102CCD	349140
102CCD	347000
102CCD	348550
102CCD	348920
102CCD	346460
102CCD	350250
102CCD	01077860
102CCC	212600
102CCC	233780
102CCC	055600
102CCC	055920
102CCC	233820
102CCC	234110
102CCC	055910
102CCC	233870
102CCC	002700
102CCC	233710
102CCB	168000
102CCB	225550
102CCB	229350
102CCB	225340
102CCB	225060
102CCB	045230
102CCB	280360
102CCB	114450
102CCB	389980
102CCB	01065170
102CCA	033510
102CCA	033530
102CCA	247060
102CCA	097980
102CCA	028970
102CCA	004320
102CCA	004270
102CCA	032240
102CCA	527370
102CCA	01002370
102CC9	001240
102CC9	001230
102CC9	247060
102CC9	437600
102CC9	019220
102CC9	341960
102CC9	097980
102CC9	002660
102CC9	233620
102CC9	527370
102CC8	214090
102CC8	134610
102CC8	133350
102CC8	227820
102CC8	267540
102CC8	133450
102CC8	134490
102CC8	133430
102CC8	01035270
102CC8	01002590
102CC7	001600
102CC7	080300
102CC7	341960
102CC7	152800
102CC7	247060
102CC7	233620
102CC7	103770
102CC7	116400
102CC7	001230
102CC7	527370
102CC6	104400
102CC6	033530
102CC6	033510
102CC6	004800
102CC6	247060
102CC6	084170
102CC6	004320
102CC6	01000260
102CC6	084160
102CC6	032240
102CC5	279280
102CC5	275080
102CC5	279140
102CC5	018760
102CC5	163220
102CC5	099300
102CC5	322770
102CC5	113520
102CC5	185940
102CC5	185950
102CC4	232290
102CC4	231670
102CC4	233310
102CC4	230820
102CC4	231740
102CC4	231640
102CC4	233040
102CC4	233290
102CC4	230480
102CC4	231350
102CC3	417180
102CC3	416870
102CC3	083800
102CC3	417270
102CC3	416030
102CC3	417280
102CC3	417290
102CC3	417480
102CC3	416300
102CC3	418260
102CC2	169400
102CC2	137800
102CC2	389270
102CC2	114550
102CC2	390020
102CC2	225580
102CC2	389530
102CC2	307770
102CC2	393340
102CC2	01065670
102CC1	211160
102CC1	210130
102CC1	205090
102CC1	209010
102CC1	199210
102CC1	210120
102CC1	209000
102CC1	210140
102CC1	209660
102CC1	211950
102CC0	400960
102CC0	403840
102CC0	403650
102CC0	402960
102CC0	401710
102CC0	402930
102CC0	401060
102CC0	400610
102CC0	400620
102CC0	401940
102CBF	443900
102CBF	438740
102CBF	442730
102CBF	440250
102CBF	438090
102CBF	442720
102CBF	440300
102CBF	441600
102CBF	442160
102CBF	159470
102CBE	493270
102CBE	494450
102CBE	492910
102CBE	494020
102CBE	495150
102CBE	495070
102CBE	494510
102CBE	492930
102CBE	495330
102CBE	492890
102CBD	084650
102CBD	084710
102CBD	173190
102CBD	084860
102CBD	084820
102CBD	084720
102CBD	084940
102CBD	084400
102CBD	084600
102CBD	084430
102CBC	193920
102CBC	193900
102CBC	193890
102CBC	193880
102CBC	193260
102CBC	193780
102CBC	162410
102CBC	193790
102CBC	259630
102CBC	193460
102CBB	352200
102CBB	349930
102CBB	363360
102CBB	357900
102CBB	362880
102CBB	355860
102CBB	354730
102CBB	347900
102CBB	01079350
102CBB	349870
102CBA	112130
102CBA	269370
102CBA	269420
102CBA	193430
102CBA	288150
102CBA	288270
102CBA	185140
102CBA	420890
102CBA	421540
