1-2	000070
1-2	097980
1-2	001230
1-2	030110
1-2	341960
1-2	000040
1-2	000050
1-2	001120
1-2	527370
1-2	003130
1-3	437570
1-3	000070
1-3	097980
1-3	001230
1-3	030110
1-3	000040
1-3	001120
1-3	527370
1-3	004810
1-3	003130
1-4	097980
1-4	001080
1-4	019220
1-4	001230
1-4	001120
1-4	038140
1-4	037540
1-4	527370
1-4	01002370
1-4	003130
1-5	437570
1-5	097980
1-5	019220
1-5	001120
1-5	001230
1-5	004810
1-5	108400
1-5	527370
1-5	341960
1-5	003130
1-6	000100
1-6	000070
1-6	001230
1-6	341960
1-6	032250
1-6	032260
1-6	152800
1-6	001120
1-6	527370
1-6	003130
1-7	000070
1-7	000100
1-7	032290
1-7	003070
1-7	032260
1-7	152800
1-7	032250
1-7	341960
1-7	035460
1-7	527370
1-8	000100
1-8	000070
1-8	341960
1-8	002690
1-8	032250
1-8	003070
1-8	152800
1-8	032290
1-8	031420
1-8	035460
1-9	287830
1-9	342060
1-9	343320
1-9	341960
1-9	436790
1-9	317510
1-9	342430
1-9	342260
1-9	342170
1-9	527370
1-10	152650
1-10	152640
1-10	002660
1-10	002670
1-10	000070
1-10	000100
1-10	000080
1-10	032250
1-10	032290
1-10	001280
1-11	001230
1-11	002690
1-11	341960
1-11	437570
1-11	030110
1-11	000100
1-11	000070
1-11	004290
1-11	527370
1-11	003130
1-12	001230
1-12	247060
1-12	222540
1-12	341960
1-12	032260
1-12	030110
1-12	000100
1-12	004810
1-12	527370
1-12	003130
1-13	341960
1-13	000100
1-13	247060
1-13	032250
1-13	030110
1-13	001230
1-13	000090
1-13	001120
1-13	003130
1-13	527370
1-14	000100
1-14	247060
1-14	341960
1-14	032250
1-14	001230
1-14	030110
1-14	000090
1-14	001120
1-14	003130
1-14	527370
1-15	247060
1-15	000100
1-15	341960
1-15	000070
1-15	001230
1-15	030110
1-15	000200
1-15	000090
1-15	003130
1-15	527370
1-16	247060
1-16	000100
1-16	341960
1-16	001230
1-16	000070
1-16	030110
1-16	000090
1-16	001120
1-16	003130
1-16	527370
1-17	001220
1-17	437570
1-17	247060
1-17	001230
1-17	004910
1-17	341960
1-17	359340
1-17	112000
1-17	003130
1-17	527370
1-18	437570
1-18	000070
1-18	001230
1-18	247060
1-18	078890
1-18	359340
1-18	527370
1-18	003130
1-18	003090
1-18	067000
1-19	001060
1-19	001310
1-19	341960
1-19	000200
1-19	000100
1-19	000070
1-19	032250
1-19	066920
1-19	004290
1-19	527370
1-20	001060
1-20	001310
1-20	000200
1-20	000100
1-20	341960
1-20	065130
1-20	01002490
1-20	035460
1-20	436790
1-20	527370
1-21	001060
1-21	000200
1-21	001310
1-21	000070
1-21	000100
1-21	152800
1-21	032250
1-21	341960
1-21	085680
1-21	527370
1-22	001060
1-22	001310
1-22	000200
1-22	341960
1-22	152800
1-22	032250
1-22	031620
1-22	065130
1-22	035460
1-22	01006510
1-23	002010
1-23	015450
1-23	185780
1-23	084160
1-23	069540
1-23	439470
1-23	003090
1-23	482780
1-23	029030
1-23	395050
1-24	004640
1-24	016700
1-24	016620
1-24	016640
1-24	455700
1-24	055890
1-24	016600
1-24	01002400
1-24	067190
1-24	056370
1-25	069220
1-25	004440
1-25	004820
1-25	084160
1-25	001230
1-25	065130
1-25	274940
1-25	003090
1-25	098700
1-25	003610
1-26	001340
1-26	086700
1-26	000200
1-26	001310
1-26	105190
1-26	002690
1-26	104460
1-26	030160
1-26	104900
1-26	01068820
1-27	028970
1-27	085190
1-27	084210
1-27	104550
1-27	104440
1-27	037180
1-27	001230
1-27	527370
1-27	01000450
1-27	003130
1-28	341940
1-28	000010
1-28	003460
1-28	287830
1-28	112000
1-28	032340
1-28	035740
1-28	017110
1-28	527370
1-28	01011870
1-29	341940
1-29	287830
1-29	080370
1-29	002790
1-29	000670
1-29	108460
1-29	040700
1-29	338860
1-29	162640
1-29	527370
1-30	000070
1-30	287830
1-30	001230
1-30	000100
1-30	032250
1-30	000200
1-30	341960
1-30	01002400
1-30	527370
1-30	003130
1-31	001340
1-31	002690
1-31	103990
1-31	030160
1-31	266590
1-31	000160
1-31	341960
1-31	001230
1-31	003130
1-31	527370
1-32	001230
1-32	000070
1-32	001400
1-32	001310
1-32	000100
1-32	066920
1-32	341960
1-32	003130
1-32	527370
1-32	01001330
1-33	035460
1-33	000100
1-33	032250
1-33	152770
1-33	064630
1-33	000090
1-33	080350
1-33	01002490
1-33	527370
1-33	003130
1-34	000470
1-34	482780
1-34	01007560
1-34	489800
1-34	446150
1-34	152770
1-34	489810
1-34	017370
1-34	000200
1-34	01000140
1-35	152650
1-35	152640
